Ciclo,Hum Suelo (),Temp Suelo (C)
1507,47,18.812
1508,47,18.812
1509,47,18.812
1510,48,18.812
1511,48,18.750
1512,47,18.750
1513,48,18.750
1514,48,18.750
1515,47,18.750
1516,47,18.688
1517,47,18.688
1518,47,18.688
1519,47,18.688
1520,47,18.688
1521,47,18.625
1522,47,18.625
1523,47,18.625
1524,48,18.625
1525,48,18.625
1526,47,18.625
1527,47,18.562
1528,48,18.562
1529,47,18.562
1530,47,18.562
1531,48,18.562
1532,48,18.500
1533,47,18.500
1534,47,18.500
1535,47,18.500
1536,47,18.500
1537,48,18.438
1538,47,18.438
1539,48,18.438
1540,48,18.438
1541,48,18.375
1542,47,18.375
1543,48,18.375
1544,48,18.375
1545,48,18.375
1546,48,18.312
1547,48,18.312
1548,48,18.312
1549,48,18.312
1550,48,18.250
1551,48,18.250
1552,48,18.250
1553,47,18.250
1554,48,18.250
1555,48,18.250
1556,48,18.188
1557,48,18.188
1558,48,18.188
1559,48,18.188
1560,48,18.188
1561,48,18.125
1562,48,18.125
1563,48,18.125
1564,48,18.125
1565,48,18.125
1566,47,18.125
1567,47,18.062
1568,48,18.125
1569,48,18.062
1570,48,18.125
1571,48,18.062
1572,47,18.062
1573,47,18.062
1574,48,18.000
1575,48,18.000
1576,47,18.062
1577,47,18.000
1578,47,18.000
1579,48,18.000
1580,48,18.000
1581,48,18.000
1582,47,17.938
1583,47,17.938
1584,47,17.938
1585,47,17.938
1586,47,17.938
1587,47,17.938
1588,47,17.875
1589,47,17.875
1590,48,17.875
1591,47,17.875
1592,47,17.875
1593,47,17.812
1594,48,17.812
1595,47,17.812
1596,48,17.812
1597,48,17.812
1598,47,17.812
1599,48,17.750
1600,48,17.750
1601,48,17.750
1602,48,17.750
1603,48,17.750
1604,47,17.688
1605,47,17.688
1606,47,17.688
1607,47,17.688
1608,48,17.688
1609,48,17.688
1610,48,17.688
1611,48,17.625
1612,48,17.625
1613,48,17.625
1614,47,17.625
1615,48,17.562
1616,48,17.625
1617,47,17.625
1618,47,17.562
1619,48,17.562
1620,48,17.562
1621,47,17.562
1622,48,17.562
1623,47,17.500
1624,48,17.500
1625,48,17.562
1626,48,17.500
1627,48,17.500
1628,48,17.500
1629,48,17.438
1630,48,17.438
1631,48,17.438
1632,48,17.438
1633,48,17.438
1634,47,17.438
1635,47,17.438
1636,48,17.438
1637,48,17.375
1638,48,17.375
1639,48,17.375
1640,47,17.375
1641,48,17.375
1642,48,17.312
1643,47,17.312
1644,48,17.312
1645,47,17.312
1646,48,17.312
1647,48,17.312
1648,48,17.250
1649,48,17.250
1650,48,17.250
1651,48,17.250
1652,48,17.250
